year,municipality_nis_code,Gemiddeld_inkomen_per_aangifte,Mediaan_inkomen_per_aangifte,Gemiddeld_inkomen_per_inwoner,Interkwartiel_verschil,Interkwartiele_coefficient,Interkwartiele_assymmetrie,Welvaartsindex
2005,1000,24422,18417,13613,19297,104.78,23.25,100
2005,2000,25609,19561,14441,20275,103.65,22.58,106.09
2005,3000,22797,17041,12773,17774,104.3,27.06,93.83
2005,3001,24181,19060,12369,17836,93.58,20.2,90.87
2005,4000,22565,16035,11482,17097,106.62,28.52,84.35
2005,10000,25381,19443,14403,19698,101.31,21.56,105.81
2005,11000,25379,19163,14386,19489,101.7,21.8,105.68
2005,11001,32314,23270,18130,27015,116.09,29.9,133.18
2005,11002,22469,17560,12939,16625,94.68,19.55,95.05
2005,11004,28644,20796,15687,24637,118.47,25.17,115.24
2005,11005,23563,18825,13723,17171,91.21,20.72,100.81
2005,11007,25679,20419,15269,19846,97.19,19.06,112.17
2005,11008,30234,20605,16918,23727,115.15,28.16,124.28
2005,11009,27175,21236,14662,23341,109.91,21.26,107.71
2005,11013,30225,21604,17488,24085,111.49,29.14,128.47
2005,11016,25082,20055,13210,20743,103.43,20.61,97.05
2005,11018,25388,20367,14259,18688,91.75,27.47,104.75
2005,11021,34121,22126,18455,30567,138.15,34.74,135.57
2005,11022,27641,20892,14752,23540,112.68,26.39,108.37
2005,11023,31072,21484,17207,24786,115.37,29.91,126.41
2005,11024,30556,21944,16337,25474,116.09,32.56,120.02
2005,11025,29480,22365,15832,27480,122.87,25.54,116.31
2005,11029,27341,20616,16100,22474,109.01,22.43,118.27
2005,11030,24083,19723,13952,16737,84.86,19.56,102.5
2005,11035,28274,20836,15424,23896,114.68,27.79,113.31
2005,11037,27616,21176,15647,22468,106.1,25.35,114.94
2005,11038,27462,21101,15184,22986,108.93,29.93,111.55
2005,11039,33227,20680,17925,26759,129.4,31.02,131.68
2005,11040,27550,20428,15465,21268,104.11,24.06,113.61
2005,11044,28172,22596,16054,23116,102.3,27.86,117.93
2005,11050,26235,19768,15385,20693,104.68,26.11,113.02
2005,11052,26225,20146,14858,22032,109.36,24.38,109.15
2005,11053,25236,20157,13559,21200,105.18,19.5,99.61
2005,11054,27100,20585,15244,22783,110.68,22.86,111.99
2005,11055,29444,20918,16156,26021,124.4,27.7,118.68
2005,11056,26203,20878,15717,20318,97.32,23,115.46
2005,11057,26128,20530,14527,21665,105.53,18.39,106.72
2005,12000,25875,19730,14734,20395,103.37,23.07,108.24
2005,12002,24733,19738,13968,18591,94.19,19.18,102.61
2005,12005,31959,21295,17795,27740,130.27,32.93,130.72
2005,12007,28065,21695,15031,21975,101.29,26.97,110.42
2005,12009,26302,19722,15257,21172,107.35,23.61,112.08
2005,12014,24604,19493,14214,18848,96.69,18.87,104.42
2005,12021,25470,19580,14974,19684,100.53,20.86,110
2005,12025,24785,19141,14423,19332,101,21.33,105.95
2005,12026,24995,19046,13936,19128,100.43,27.42,102.38
2005,12029,25529,19543,14615,20718,106.01,24.23,107.36
2005,12030,28446,21344,15443,22497,105.41,28.13,113.45
2005,12034,27409,20054,14992,21139,105.41,24.08,110.13
2005,12035,27046,20331,15049,23807,117.1,26.41,110.55
2005,12040,24929,19327,14066,18953,98.06,24.86,103.33
2005,13000,25012,19875,14193,19682,99.03,19.55,104.26
2005,13001,23315,19681,12857,17807,90.48,16.27,94.45
2005,13002,22561,17463,12181,17373,99.49,21.15,89.48
2005,13003,24217,19532,13758,18176,93.06,21.77,101.07
2005,13004,27395,21422,14813,22055,102.95,22.06,108.82
2005,13006,24237,20245,13349,17862,88.23,19.84,98.07
2005,13008,25115,19607,14624,20301,103.54,21.36,107.43
2005,13010,27206,20569,14994,22018,107.05,25.87,110.15
2005,13011,24307,19384,14588,18454,95.2,17.97,107.17
2005,13012,23996,19072,13873,18236,95.62,24.17,101.92
2005,13013,24612,19449,14162,18952,97.44,20.73,104.03
2005,13014,24758,19533,13268,20924,107.12,17.08,97.47
2005,13016,24036,19124,13724,18913,98.89,22.19,100.82
2005,13017,26655,20501,14677,21970,107.16,23.01,107.82
2005,13019,25309,20125,13926,20597,102.34,20.78,102.31
2005,13021,24363,19847,14203,18966,95.56,21.08,104.34
2005,13023,25970,21012,13645,22386,106.54,16.44,100.24
2005,13025,25470,19771,14416,20006,101.19,23.63,105.9
2005,13029,25637,20243,14686,19677,97.2,24.52,107.89
2005,13031,27943,21221,15271,22904,107.93,21.27,112.18
2005,13035,23813,19745,12746,19430,98.4,13.89,93.63
2005,13036,25091,20363,13473,19813,97.3,18.22,98.97
2005,13037,23305,19753,12829,18046,91.36,15.1,94.24
2005,13040,23303,18776,14211,17633,93.91,15.09,104.4
2005,13044,24017,19175,13919,18232,95.08,17.31,102.25
2005,13046,29763,22046,16226,24529,111.26,25.95,119.2
2005,13049,25858,20859,14860,20271,97.18,19.39,109.16
2005,13053,24153,19858,14058,18677,94.05,19.76,103.27
2005,20001,28860,20945,16104,23938,114.29,25.69,118.3
2005,20002,28433,19614,15477,24395,124.38,27.71,113.7
2005,21000,22565,16035,11482,17097,106.62,28.52,84.35
2005,21001,18840,14457,10449,13820,95.59,31.12,76.76
2005,21002,27371,19413,14610,22680,116.83,24.48,107.33
2005,21003,23954,17399,13889,18622,107.03,26.27,102.03
2005,21004,20895,14705,10360,15497,105.39,34.2,76.1
2005,21005,24015,17831,11118,18261,102.41,21.55,81.68
2005,21006,22494,17243,11986,17652,102.37,25.31,88.05
2005,21007,22088,16452,11790,16411,99.75,25.85,86.61
2005,21008,22369,16666,13681,16748,100.49,28.16,100.5
2005,21009,23868,16120,11851,18905,117.27,29.42,87.06
2005,21010,22351,17240,12790,17273,100.19,23.7,93.96
2005,21011,20623,15485,11169,15413,99.54,29.96,82.05
2005,21012,18534,14198,8761.2,13346,94,32.65,64.36
2005,21013,18555,13789,9160.9,13536,98.17,33.11,67.3
2005,21014,16244,12293,7016.4,11616,94.5,36.06,51.54
2005,21015,19987,14806,9498.6,15171,102.47,31.37,69.78
2005,21016,30250,19130,14959,22695,118.64,28.84,109.89
2005,21017,27735,19080,15625,23567,123.52,26.14,114.78
2005,21018,26807,18825,13932,22206,117.96,25.84,102.35
2005,21019,31483,20139,15282,26440,131.29,26.66,112.27
2005,23000,29245,21066,16131,24320,115.45,26.74,118.5
2005,23002,28273,20777,16102,23394,112.6,24.07,118.29
2005,23003,30162,21099,16402,25577,121.22,30.78,120.49
2005,23009,28248,20672,14913,25499,123.35,34.31,109.55
2005,23016,29890,21571,17142,24989,115.85,25.96,125.93
2005,23023,27673,21329,15605,23775,111.47,27.4,114.64
2005,23024,28512,20765,15828,25048,120.62,33.15,116.28
2005,23025,30328,21819,17599,24722,113.3,24.98,129.29
2005,23027,25894,19984,15180,19663,98.4,23.33,111.52
2005,23032,28025,20874,15594,24072,115.32,24.11,114.55
2005,23033,30257,20349,15756,26185,128.68,30.54,115.75
2005,23038,30956,21896,17216,28532,130.31,29.54,126.47
2005,23039,28357,21417,16312,22747,106.21,26.79,119.83
2005,23044,25834,20087,15022,20311,101.12,24.13,110.35
2005,23045,28465,21648,15854,22670,104.72,26.25,116.47
2005,23047,25980,20426,14648,20864,102.14,22.08,107.61
2005,23050,32820,22684,18065,29858,131.63,28.85,132.71
