policy_number,claim_number,claim_date,notification_date,finish_date,description,country_code,country,amount_cas,amount_wa,cost_ca,cost_wa,amount_reclaimed,total
25065,10000,10-07-2015,19-10-2015,29-12-2015,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,1748.2,NA,NA,NA,1748.2
11948,10001,24-08-2015,25-08-2015,27-10-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1549.83,NA,40.290000000000006,NA,-1448.58,141.54
11949,10002,04-01-2015,09-01-2015,03-03-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,405.47999999999996,NA,40.290000000000006,NA,-380.35,65.42
25066,10003,30-08-2015,01-12-2015,22-02-2016,HAGEL,NL,Nederland,130.2,NA,77.44000000000001,NA,-65.1,142.54
11950,10004,25-08-2014,01-09-2014,11-09-2014,RUITREPARATIE DOOR CARGLASS,NL,Nederland,83.99000000000001,NA,1,NA,NA,84.99
25067,10005,18-04-2017,01-05-2017,10-05-2017,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,NA,250,NA,77.74000000000001,NA,327.74
11954,10006,21-02-2015,23-02-2015,04-05-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,447.69,NA,40.290000000000006,NA,-414.11,73.87
11954,10007,18-02-2015,18-02-2015,28-11-2016,ARTIKEL 185 WVW,NL,Nederland,975.8199999999999,11171.77,5,NA,-1869.94,10282.65
25068,10008,29-02-2016,04-03-2016,02-04-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
11955,10009,17-09-2014,18-09-2014,21-11-2014,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,2384.22,NA,39.5,NA,NA,2423.72
11956,10010,20-05-2019,20-05-2019,04-06-2019,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,1980.1299999999999,NA,NA,NA,NA,1980.13
11957,10011,26-07-2018,26-07-2018,01-08-2018,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,NA,NA,NA,NA,NA,0
11957,10012,01-08-2015,03-08-2015,10-08-2016,REED TEGEN STILSTAAND VAST OBJECT,CH,Zwitserland,NA,2406.9100000000003,NA,361.04,NA,2767.95
25069,10013,07-04-2014,11-04-2014,16-04-2014,Ruitvervanging door Glasgarage,NL,Nederland,307.75,NA,1,NA,NA,308.75
25070,10014,20-05-2014,23-05-2014,30-05-2014,RUITBREUK,NL,Nederland,539.01,NA,NA,NA,NA,539.01
25070,10015,19-05-2014,19-05-2014,02-07-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,630.63,NA,69.6,NA,-731.51,-31.28
11959,10016,22-08-2014,26-08-2014,18-12-2014,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,770.42,811.74,5,5.34,NA,1592.5
11961,10017,14-10-2019,14-10-2019,NA,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
11963,10018,29-03-2018,29-03-2018,11-01-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,135,2479.34,78.53,NA,-2514.34,178.53
11964,10019,23-01-2018,06-02-2018,09-04-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
11967,10020,22-08-2019,22-08-2019,14-10-2019,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,6017.610000000001,NA,78.53,NA,NA,6096.14
11967,10021,11-09-2018,12-09-2018,17-10-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,884.31,NA,78.53,NA,-995.81,-32.97
11967,10022,06-03-2018,08-03-2018,12-03-2018,RUITBREUK,NL,Nederland,554.4,NA,NA,NA,NA,554.4
11967,10023,18-01-2018,18-01-2018,30-01-2018,STORM (CALAMITEIT),NL,Nederland,1531.23,NA,78.53,NA,NA,1609.76
25071,10024,06-11-2018,06-11-2018,26-03-2019,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,2520,2478.88,78.53,51.58,NA,5128.99
11971,10025,25-05-2018,05-06-2018,06-07-2018,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,NA,890.9599999999999,NA,NA,NA,890.96
11980,10026,30-04-2018,08-05-2018,06-06-2018,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,539.56,NA,NA,NA,539.56
25072,10027,05-12-2017,15-01-2018,02-03-2018,AUTODIEFSTAL ETC 2E PERIODE (NA 30 DGN),NL,Nederland,7315,NA,NA,NA,NA,7315
11984,10028,08-07-2018,18-07-2018,23-07-2018,RUITVERVANGING DOOR CARGLASS,NL,Nederland,377.32,NA,NA,NA,NA,377.32
11990,10029,14-04-2019,16-04-2019,05-08-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1630.23,NA,78.53,NA,-1630.23,78.53
11993,10030,27-03-2018,27-03-2018,11-04-2019,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,NA,2902.06,NA,435.3,NA,3337.36
12016,10031,08-03-2019,11-03-2019,NA,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,78.53,NA,NA,78.53
12029,10032,14-08-2019,15-08-2019,21-08-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12039,10033,08-01-2019,09-01-2019,12-02-2019,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,1027.3,NA,NA,NA,NA,1027.3
12042,10034,10-01-2019,24-01-2019,12-02-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,802.15,NA,NA,NA,802.15
12050,10035,28-03-2019,07-06-2019,07-06-2019,Ruitvervanging door ABS,NL,Nederland,428.19,NA,NA,NA,NA,428.19
12050,10036,13-12-2018,18-12-2018,19-06-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,650.05,NA,NA,NA,-601.2900000000001,48.76
12070,10037,12-07-2019,12-07-2019,NA,VERLEENDE GEEN VOORRANG,NL,Nederland,NA,NA,NA,78.53,NA,78.53
12071,10038,07-01-2019,08-01-2019,NA,VERLEENDE GEEN VOORRANG,NL,Nederland,NA,4186.85,NA,80.92,NA,4267.77
12072,10039,03-02-2019,04-02-2019,17-04-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
25073,10040,21-04-2019,08-05-2019,19-09-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,610.04,NA,NA,NA,610.04
12082,10041,02-01-2019,09-01-2019,14-01-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12082,10042,29-12-2018,04-02-2019,02-04-2019,SLOEG RECHTSAF,NL,Nederland,NA,1605.93,NA,NA,NA,1605.93
12082,10043,01-02-2018,31-12-2018,10-01-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12092,10044,13-11-2018,14-11-2018,22-02-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,5574.91,NA,78.53,NA,5653.44
12095,10045,29-03-2019,02-04-2019,NA,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,NA,2923.9500000000003,NA,77.1,NA,3001.05
12104,10046,10-07-2019,22-07-2019,NA,STOND GEPARKEERD,NL,Nederland,895.74,NA,78.53,NA,NA,974.27
12104,10047,12-06-2019,12-06-2019,30-07-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1506.75,NA,NA,NA,-1393.75,113
12104,10048,25-04-2019,10-05-2019,13-05-2019,RUITVERVANGING DOOR CARGLASS,NL,Nederland,466.74,NA,NA,NA,NA,466.74
12107,10049,13-11-2018,14-11-2018,18-12-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,587.6800000000001,NA,78.53,NA,-699.1800000000001,-32.97
12117,10050,30-10-2018,07-11-2018,10-01-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,1128.98,NA,NA,NA,1128.98
