zipcode_link,zip4,PROVINCIE,URB2,INKOMEN,SOCKL_A,SOCKL_B1,SOCKL_B2,SOCKL_C,SOCKL_D,OPL_HOOG,OPL_MID,OPL_LAAG,TWEEVERD2,K_WON_EIG2,WOZ_WON,K_HPR_WON,LEVENSFAS2,K_ALLEEN2,K_PAAR_MK2,K_PAAR_ZK2,K_JALLEEN2,K_MALLEEN2,K_OALLEEN2,K_PAARAJK2,K_PAARAOK2,K_JPAARZK2,K_MPAARZK2,K_OPAARZK2,K_G_GEZGRT,LENEN2,SPAREN2,KOOPINTERN,K_AUTOBEZ2
22282,1011,Noord-Holland,1,1,5,2,2,1,1,5,2,1,2,2,11,NA,3,4,3,3,2,2,4,3,2,1,2,3,3,4,4,5,2
10026,1011,Noord-Holland,1,3,1,3,4,1,1,1,5,2,1,1,11,4,3,5,3,3,1,3,4,2,3,1,1,3,2,1,4,3,1
18907,1012,Noord-Holland,1,1,4,2,2,2,1,5,1,1,2,2,9,5,1,5,2,3,4,3,3,2,1,3,2,1,2,4,6,6,1
18558,1012,Noord-Holland,1,2,4,3,1,2,1,5,1,1,2,2,11,9,1,5,3,3,4,2,2,2,2,2,2,2,2,4,6,6,1
22808,1012,Noord-Holland,1,2,2,3,3,2,1,5,2,1,2,2,9,11,1,5,1,3,4,1,1,1,1,2,1,2,1,4,6,6,1
10163,1012,Noord-Holland,1,2,4,2,2,1,1,5,1,1,2,2,11,11,1,5,3,3,4,3,3,3,1,2,1,2,2,3,6,6,1
17184,1012,Noord-Holland,1,3,4,3,2,1,1,4,3,1,2,1,11,9,1,5,3,4,4,3,3,2,2,3,1,2,3,4,6,6,1
22713,1012,Noord-Holland,1,1,5,2,1,1,1,5,1,1,3,2,11,NA,1,5,3,2,4,3,3,3,2,2,1,2,2,4,6,6,1
12161,1013,Noord-Holland,1,1,5,1,1,1,1,5,1,1,3,2,12,NA,1,4,3,4,4,3,1,3,2,2,2,3,3,4,6,6,3
19756,1013,Noord-Holland,1,6,5,1,1,1,1,5,1,1,4,2,11,NA,2,4,4,4,2,4,2,3,3,1,2,3,3,3,6,6,3
25345,1013,Noord-Holland,1,3,2,3,4,2,2,3,4,1,3,2,9,5,2,5,3,2,1,4,2,2,2,1,1,2,2,4,6,6,1
15343,1013,Noord-Holland,1,1,5,2,1,1,1,5,1,1,2,2,12,11,1,4,3,4,4,3,2,3,2,2,2,3,3,3,5,6,2
20809,1013,Noord-Holland,1,2,3,3,3,1,1,3,4,1,2,2,10,7,3,5,3,3,1,2,4,3,3,1,2,3,3,4,5,4,2
20614,1013,Noord-Holland,1,3,1,2,4,2,1,2,5,2,2,2,9,9,3,5,3,2,2,3,4,3,2,2,1,2,3,2,6,3,1
18118,1013,Noord-Holland,1,3,2,3,3,1,1,2,5,1,2,2,10,9,2,5,3,3,2,4,2,3,2,2,2,2,3,4,6,6,1
